DomainLabel,VarName,REGION,_REGION,activity,_activity,RENELC,_RENELC,DiffEst,StdErr,DF,tValue,Probt
REGION*activity*RENELC,bleu,Northeast,West,Office,Shopping,Yes,Yes,-1.694645,3.654605,197,-0.46,0.6434
REGION*activity*RENELC,bleu,Northeast,West,Office,Shopping,Yes,No,-6.917229,2.226262,197,-3.11,0.0022
REGION*activity*RENELC,bleu,Northeast,West,Office,Warehouse,Yes,Yes,5.099738,1.711938,197,2.98,0.0033
REGION*activity*RENELC,bleu,Northeast,West,Office,Warehouse,Yes,No,4.356482,1.385883,197,3.14,0.0019
REGION*activity*RENELC,bleu,Northeast,Northeast,Office,Service,No,Yes,2.981068,3.519738,197,0.85,0.3980
REGION*activity*RENELC,bleu,Northeast,Northeast,Office,Service,No,No,2.478098,1.530078,197,1.62,0.1069
REGION*activity*RENELC,bleu,Northeast,Northeast,Office,Shopping,No,Yes,-3.819187,1.855257,197,-2.06,0.0409
REGION*activity*RENELC,bleu,Northeast,Northeast,Office,Shopping,No,No,-1.539762,2.166084,197,-0.71,0.4780
REGION*activity*RENELC,bleu,Northeast,Northeast,Office,Warehouse,No,Yes,6.059924,1.806428,197,3.35,0.0010
REGION*activity*RENELC,bleu,Northeast,Northeast,Office,Warehouse,No,No,6.921847,1.113654,197,6.22,<.0001
REGION*activity*RENELC,bleu,Northeast,Midwest,Office,Education,No,Yes,0.110946,3.290277,197,0.03,0.9731
REGION*activity*RENELC,bleu,Northeast,Midwest,Office,Education,No,No,1.481125,1.388578,197,1.07,0.2874
REGION*activity*RENELC,bleu,Northeast,Midwest,Office,Office,No,Yes,0.696656,1.939357,197,0.36,0.7198
REGION*activity*RENELC,bleu,Northeast,Midwest,Office,Office,No,No,-1.017308,1.489293,197,-0.68,0.4954
REGION*activity*RENELC,bleu,Northeast,Midwest,Office,Service,No,Yes,2.290583,2.648348,197,0.86,0.3881
REGION*activity*RENELC,bleu,Northeast,Midwest,Office,Service,No,No,2.929723,1.428038,197,2.05,0.0415
REGION*activity*RENELC,bleu,Northeast,Midwest,Office,Shopping,No,Yes,-4.469312,5.381430,197,-0.83,0.4073
REGION*activity*RENELC,bleu,Northeast,Midwest,Office,Shopping,No,No,-3.840609,1.594804,197,-2.41,0.0170
REGION*activity*RENELC,bleu,Northeast,Midwest,Office,Warehouse,No,Yes,2.712459,3.201547,197,0.85,0.3979
REGION*activity*RENELC,bleu,Northeast,Midwest,Office,Warehouse,No,No,7.240913,1.091283,197,6.64,<.0001
REGION*activity*RENELC,bleu,Northeast,South,Office,Education,No,Yes,-4.099750,5.133589,197,-0.80,0.4255
REGION*activity*RENELC,bleu,Northeast,South,Office,Education,No,No,-3.042945,1.414351,197,-2.15,0.0327
REGION*activity*RENELC,bleu,Northeast,South,Office,Office,No,Yes,-0.771177,1.624018,197,-0.47,0.6354
REGION*activity*RENELC,bleu,Northeast,South,Office,Office,No,No,-3.324066,1.298878,197,-2.56,0.0112
REGION*activity*RENELC,bleu,Northeast,South,Office,Service,No,Yes,2.363737,2.025665,197,1.17,0.2447
REGION*activity*RENELC,bleu,Northeast,South,Office,Service,No,No,-0.193880,1.630978,197,-0.12,0.9055
REGION*activity*RENELC,bleu,Northeast,South,Office,Shopping,No,Yes,-10.377317,4.888213,197,-2.12,0.0350
REGION*activity*RENELC,bleu,Northeast,South,Office,Shopping,No,No,-5.871261,1.418080,197,-4.14,<.0001
REGION*activity*RENELC,bleu,Northeast,South,Office,Warehouse,No,Yes,0.691298,2.149777,197,0.32,0.7481
REGION*activity*RENELC,bleu,Northeast,South,Office,Warehouse,No,No,3.442234,1.868219,197,1.84,0.0669
REGION*activity*RENELC,bleu,Northeast,West,Office,Education,No,Yes,-1.707752,6.097641,197,-0.28,0.7797
REGION*activity*RENELC,bleu,Northeast,West,Office,Education,No,No,2.296045,1.282721,197,1.79,0.0750
REGION*activity*RENELC,bleu,Northeast,West,Office,Office,No,Yes,1.299962,1.273831,197,1.02,0.3087
REGION*activity*RENELC,bleu,Northeast,West,Office,Office,No,No,-2.755565,1.638977,197,-1.68,0.0943
REGION*activity*RENELC,bleu,Northeast,West,Office,Service,No,Yes,4.400948,2.693322,197,1.63,0.1039
REGION*activity*RENELC,bleu,Northeast,West,Office,Service,No,No,1.841145,1.772155,197,1.04,0.3001
REGION*activity*RENELC,bleu,Northeast,West,Office,Shopping,No,Yes,0.017922,3.571633,197,0.01,0.9960
REGION*activity*RENELC,bleu,Northeast,West,Office,Shopping,No,No,-5.204662,2.086740,197,-2.49,0.0134
REGION*activity*RENELC,bleu,Northeast,West,Office,Warehouse,No,Yes,6.812305,1.533227,197,4.44,<.0001
REGION*activity*RENELC,bleu,Northeast,West,Office,Warehouse,No,No,6.069049,1.153836,197,5.26,<.0001
REGION*activity*RENELC,bleu,Northeast,Northeast,Service,Service,Yes,No,-0.502970,3.811256,197,-0.13,0.8951
REGION*activity*RENELC,bleu,Northeast,Northeast,Service,Shopping,Yes,Yes,-6.800255,4.079310,197,-1.67,0.0971
REGION*activity*RENELC,bleu,Northeast,Northeast,Service,Shopping,Yes,No,-4.520830,3.156830,197,-1.43,0.1537
REGION*activity*RENELC,bleu,Northeast,Northeast,Service,Warehouse,Yes,Yes,3.078856,3.929341,197,0.78,0.4342
REGION*activity*RENELC,bleu,Northeast,Northeast,Service,Warehouse,Yes,No,3.940779,3.619324,197,1.09,0.2776
REGION*activity*RENELC,bleu,Northeast,Midwest,Service,Education,Yes,Yes,-2.870122,4.662609,197,-0.62,0.5389
REGION*activity*RENELC,bleu,Northeast,Midwest,Service,Education,Yes,No,-1.499943,3.601395,197,-0.42,0.6775
REGION*activity*RENELC,bleu,Northeast,Midwest,Service,Office,Yes,Yes,-2.284412,3.838506,197,-0.60,0.5524
REGION*activity*RENELC,bleu,Northeast,Midwest,Service,Office,Yes,No,-3.998377,3.634194,197,-1.10,0.2726
REGION*activity*RENELC,bleu,Northeast,Midwest,Service,Service,Yes,Yes,-0.690486,4.240941,197,-0.16,0.8708
REGION*activity*RENELC,bleu,Northeast,Midwest,Service,Service,Yes,No,-0.051345,3.595555,197,-0.01,0.9886
REGION*activity*RENELC,bleu,Northeast,Midwest,Service,Shopping,Yes,Yes,-7.450380,6.327393,197,-1.18,0.2404
REGION*activity*RENELC,bleu,Northeast,Midwest,Service,Shopping,Yes,No,-6.821678,3.671401,197,-1.86,0.0647
REGION*activity*RENELC,bleu,Northeast,Midwest,Service,Warehouse,Yes,Yes,-0.268609,4.583385,197,-0.06,0.9533
REGION*activity*RENELC,bleu,Northeast,Midwest,Service,Warehouse,Yes,No,4.259845,3.486073,197,1.22,0.2232
REGION*activity*RENELC,bleu,Northeast,South,Service,Education,Yes,Yes,-7.080818,6.091355,197,-1.16,0.2465
REGION*activity*RENELC,bleu,Northeast,South,Service,Education,Yes,No,-6.024013,3.598725,197,-1.67,0.0957
REGION*activity*RENELC,bleu,Northeast,South,Service,Office,Yes,Yes,-3.752245,3.678872,197,-1.02,0.3090
REGION*activity*RENELC,bleu,Northeast,South,Service,Office,Yes,No,-6.305134,3.544460,197,-1.78,0.0768
REGION*activity*RENELC,bleu,Northeast,South,Service,Service,Yes,Yes,-0.617331,3.866257,197,-0.16,0.8733
REGION*activity*RENELC,bleu,Northeast,South,Service,Service,Yes,No,-3.174948,3.688808,197,-0.86,0.3905
REGION*activity*RENELC,bleu,Northeast,South,Service,Shopping,Yes,Yes,-13.358385,5.946867,197,-2.25,0.0258
REGION*activity*RENELC,bleu,Northeast,South,Service,Shopping,Yes,No,-8.852329,3.585256,197,-2.47,0.0144
REGION*activity*RENELC,bleu,Northeast,South,Service,Warehouse,Yes,Yes,-2.289770,3.952919,197,-0.58,0.5631
REGION*activity*RENELC,bleu,Northeast,South,Service,Warehouse,Yes,No,0.461166,3.798359,197,0.12,0.9035
REGION*activity*RENELC,bleu,Northeast,West,Service,Education,Yes,Yes,-4.688821,6.933052,197,-0.68,0.4996
REGION*activity*RENELC,bleu,Northeast,West,Service,Education,Yes,No,-0.685023,3.542429,197,-0.19,0.8469
REGION*activity*RENELC,bleu,Northeast,West,Service,Office,Yes,Yes,-1.681106,3.545426,197,-0.47,0.6359
REGION*activity*RENELC,bleu,Northeast,West,Service,Office,Yes,No,-5.736633,3.684793,197,-1.56,0.1211
REGION*activity*RENELC,bleu,Northeast,West,Service,Service,Yes,Yes,1.419880,4.260717,197,0.33,0.7393
REGION*activity*RENELC,bleu,Northeast,West,Service,Service,Yes,No,-1.139924,3.747940,197,-0.30,0.7613
REGION*activity*RENELC,bleu,Northeast,West,Service,Shopping,Yes,Yes,-2.963146,4.864885,197,-0.61,0.5432
REGION*activity*RENELC,bleu,Northeast,West,Service,Shopping,Yes,No,-8.185730,3.904956,197,-2.10,0.0373
REGION*activity*RENELC,bleu,Northeast,West,Service,Warehouse,Yes,Yes,3.831237,3.640727,197,1.05,0.2939
REGION*activity*RENELC,bleu,Northeast,West,Service,Warehouse,Yes,No,3.087981,3.497717,197,0.88,0.3784
REGION*activity*RENELC,bleu,Northeast,Northeast,Service,Shopping,No,Yes,-6.297284,2.396348,197,-2.63,0.0093
REGION*activity*RENELC,bleu,Northeast,Northeast,Service,Shopping,No,No,-4.017860,2.117297,197,-1.90,0.0592
REGION*activity*RENELC,bleu,Northeast,Northeast,Service,Warehouse,No,Yes,3.581827,2.288441,197,1.57,0.1191
REGION*activity*RENELC,bleu,Northeast,Northeast,Service,Warehouse,No,No,4.443749,1.573573,197,2.82,0.0052
REGION*activity*RENELC,bleu,Northeast,Midwest,Service,Education,No,Yes,-2.367152,3.419565,197,-0.69,0.4896
REGION*activity*RENELC,bleu,Northeast,Midwest,Service,Education,No,No,-0.996973,1.673958,197,-0.60,0.5521
REGION*activity*RENELC,bleu,Northeast,Midwest,Service,Office,No,Yes,-1.781442,2.160106,197,-0.82,0.4105
REGION*activity*RENELC,bleu,Northeast,Midwest,Service,Office,No,No,-3.495406,1.779486,197,-1.96,0.0509
REGION*activity*RENELC,bleu,Northeast,Midwest,Service,Service,No,Yes,-0.187515,2.816017,197,-0.07,0.9470
REGION*activity*RENELC,bleu,Northeast,Midwest,Service,Service,No,No,0.451625,1.729923,197,0.26,0.7943
REGION*activity*RENELC,bleu,Northeast,Midwest,Service,Shopping,No,Yes,-6.947410,5.466557,197,-1.27,0.2053
REGION*activity*RENELC,bleu,Northeast,Midwest,Service,Shopping,No,No,-6.318707,1.863884,197,-3.39,0.0008
REGION*activity*RENELC,bleu,Northeast,Midwest,Service,Warehouse,No,Yes,0.234361,3.360551,197,0.07,0.9445
REGION*activity*RENELC,bleu,Northeast,Midwest,Service,Warehouse,No,No,4.762815,1.464854,197,3.25,0.0014
REGION*activity*RENELC,bleu,Northeast,South,Service,Education,No,Yes,-6.577848,5.214532,197,-1.26,0.2086
REGION*activity*RENELC,bleu,Northeast,South,Service,Education,No,No,-5.521043,1.716508,197,-3.22,0.0015
REGION*activity*RENELC,bleu,Northeast,South,Service,Office,No,Yes,-3.249275,1.893603,197,-1.72,0.0877
REGION*activity*RENELC,bleu,Northeast,South,Service,Office,No,No,-5.802164,1.618614,197,-3.58,0.0004
REGION*activity*RENELC,bleu,Northeast,South,Service,Service,No,Yes,-0.114360,2.241534,197,-0.05,0.9594
REGION*activity*RENELC,bleu,Northeast,South,Service,Service,No,No,-2.671977,1.895268,197,-1.41,0.1602
REGION*activity*RENELC,bleu,Northeast,South,Service,Shopping,No,Yes,-12.855415,4.996034,197,-2.57,0.0108
REGION*activity*RENELC,bleu,Northeast,South,Service,Shopping,No,No,-8.349359,1.716819,197,-4.86,<.0001
REGION*activity*RENELC,bleu,Northeast,South,Service,Warehouse,No,Yes,-1.786800,2.356939,197,-0.76,0.4493
REGION*activity*RENELC,bleu,Northeast,South,Service,Warehouse,No,No,0.964137,2.103968,197,0.46,0.6473
REGION*activity*RENELC,bleu,Northeast,West,Service,Education,No,Yes,-4.185850,6.173240,197,-0.68,0.4985
REGION*activity*RENELC,bleu,Northeast,West,Service,Education,No,No,-0.182053,1.606329,197,-0.11,0.9099
REGION*activity*RENELC,bleu,Northeast,West,Service,Office,No,Yes,-1.178135,1.598893,197,-0.74,0.4621
REGION*activity*RENELC,bleu,Northeast,West,Service,Office,No,No,-5.233662,1.900537,197,-2.75,0.0064
REGION*activity*RENELC,bleu,Northeast,West,Service,Service,No,Yes,1.922850,2.860163,197,0.67,0.5022
REGION*activity*RENELC,bleu,Northeast,West,Service,Service,No,No,-0.636953,2.021557,197,-0.32,0.7530
REGION*activity*RENELC,bleu,Northeast,West,Service,Shopping,No,Yes,-2.460176,3.701045,197,-0.66,0.5070
REGION*activity*RENELC,bleu,Northeast,West,Service,Shopping,No,No,-7.682759,2.299520,197,-3.34,0.0010
REGION*activity*RENELC,bleu,Northeast,West,Service,Warehouse,No,Yes,4.334207,1.807213,197,2.40,0.0174
REGION*activity*RENELC,bleu,Northeast,West,Service,Warehouse,No,No,3.590952,1.501135,197,2.39,0.0177
REGION*activity*RENELC,bleu,Northeast,Northeast,Shopping,Shopping,Yes,No,2.279425,2.501882,197,0.91,0.3634
REGION*activity*RENELC,bleu,Northeast,Northeast,Shopping,Warehouse,Yes,Yes,9.879111,2.844711,197,3.47,0.0006
REGION*activity*RENELC,bleu,Northeast,Northeast,Shopping,Warehouse,Yes,No,10.741033,1.729391,197,6.21,<.0001
REGION*activity*RENELC,bleu,Northeast,Midwest,Shopping,Education,Yes,Yes,3.930132,3.654689,197,1.08,0.2835
REGION*activity*RENELC,bleu,Northeast,Midwest,Shopping,Education,Yes,No,5.300312,2.098998,197,2.53,0.0124
REGION*activity*RENELC,bleu,Northeast,Midwest,Shopping,Office,Yes,Yes,4.515842,2.501601,197,1.81,0.0726
REGION*activity*RENELC,bleu,Northeast,Midwest,Shopping,Office,Yes,No,2.801878,2.168787,197,1.29,0.1979
REGION*activity*RENELC,bleu,Northeast,Midwest,Shopping,Service,Yes,Yes,6.109769,3.086627,197,1.98,0.0492
REGION*activity*RENELC,bleu,Northeast,Midwest,Shopping,Service,Yes,No,6.748910,2.131756,197,3.17,0.0018
REGION*activity*RENELC,bleu,Northeast,Midwest,Shopping,Shopping,Yes,Yes,-0.650126,5.612174,197,-0.12,0.9079
REGION*activity*RENELC,bleu,Northeast,Midwest,Shopping,Shopping,Yes,No,-0.021423,2.246848,197,-0.01,0.9924
REGION*activity*RENELC,bleu,Northeast,Midwest,Shopping,Warehouse,Yes,Yes,6.531646,3.569852,197,1.83,0.0688
REGION*activity*RENELC,bleu,Northeast,Midwest,Shopping,Warehouse,Yes,No,11.060099,1.916877,197,5.77,<.0001
REGION*activity*RENELC,bleu,Northeast,South,Shopping,Education,Yes,Yes,-0.280563,5.370837,197,-0.05,0.9584
REGION*activity*RENELC,bleu,Northeast,South,Shopping,Education,Yes,No,0.776242,2.114551,197,0.37,0.7139
REGION*activity*RENELC,bleu,Northeast,South,Shopping,Office,Yes,Yes,3.048010,2.264298,197,1.35,0.1798
REGION*activity*RENELC,bleu,Northeast,South,Shopping,Office,Yes,No,0.495120,2.039377,197,0.24,0.8084
REGION*activity*RENELC,bleu,Northeast,South,Shopping,Service,Yes,Yes,6.182924,2.565071,197,2.41,0.0169
REGION*activity*RENELC,bleu,Northeast,South,Shopping,Service,Yes,No,3.625307,2.273672,197,1.59,0.1124
REGION*activity*RENELC,bleu,Northeast,South,Shopping,Shopping,Yes,Yes,-6.558131,5.127855,197,-1.28,0.2024
REGION*activity*RENELC,bleu,Northeast,South,Shopping,Shopping,Yes,No,-2.052074,2.122275,197,-0.97,0.3348
REGION*activity*RENELC,bleu,Northeast,South,Shopping,Warehouse,Yes,Yes,4.510484,2.668446,197,1.69,0.0926
REGION*activity*RENELC,bleu,Northeast,South,Shopping,Warehouse,Yes,No,7.261421,2.443999,197,2.97,0.0033
REGION*activity*RENELC,bleu,Northeast,West,Shopping,Education,Yes,Yes,2.111434,6.297430,197,0.34,0.7378
REGION*activity*RENELC,bleu,Northeast,West,Shopping,Education,Yes,No,6.115231,2.032961,197,3.01,0.0030
REGION*activity*RENELC,bleu,Northeast,West,Shopping,Office,Yes,Yes,5.119149,2.027545,197,2.52,0.0124
REGION*activity*RENELC,bleu,Northeast,West,Shopping,Office,Yes,No,1.063622,2.281481,197,0.47,0.6416
REGION*activity*RENELC,bleu,Northeast,West,Shopping,Service,Yes,Yes,8.220134,3.118779,197,2.64,0.0091
REGION*activity*RENELC,bleu,Northeast,West,Shopping,Service,Yes,No,5.660331,2.365524,197,2.39,0.0177
REGION*activity*RENELC,bleu,Northeast,West,Shopping,Shopping,Yes,Yes,3.837109,3.903787,197,0.98,0.3269
