DomainLabel,VarName,REGION,_REGION,activity,_activity,RENELC,_RENELC,DiffEst,StdErr,DF,tValue,Probt
REGION*activity*RENELC,bleu,West,West,Education,Warehouse,No,No,3.773005,0.854880,197,4.41,<.0001
REGION*activity*RENELC,bleu,West,West,Office,Office,Yes,No,-4.055527,1.257002,197,-3.23,0.0015
REGION*activity*RENELC,bleu,West,West,Office,Service,Yes,Yes,3.100986,2.447667,197,1.27,0.2067
REGION*activity*RENELC,bleu,West,West,Office,Service,Yes,No,0.541182,1.580799,197,0.34,0.7325
REGION*activity*RENELC,bleu,West,West,Office,Shopping,Yes,Yes,-1.282040,3.545708,197,-0.36,0.7181
REGION*activity*RENELC,bleu,West,West,Office,Shopping,Yes,No,-6.504624,1.593276,197,-4.08,<.0001
REGION*activity*RENELC,bleu,West,West,Office,Warehouse,Yes,Yes,5.512343,1.264178,197,4.36,<.0001
REGION*activity*RENELC,bleu,West,West,Office,Warehouse,Yes,No,4.769087,0.942440,197,5.06,<.0001
REGION*activity*RENELC,bleu,West,West,Office,Service,No,Yes,7.156513,2.914030,197,2.46,0.0149
REGION*activity*RENELC,bleu,West,West,Office,Service,No,No,4.596709,2.173403,197,2.11,0.0357
REGION*activity*RENELC,bleu,West,West,Office,Shopping,No,Yes,2.773487,3.638667,197,0.76,0.4468
REGION*activity*RENELC,bleu,West,West,Office,Shopping,No,No,-2.449097,1.620289,197,-1.51,0.1323
REGION*activity*RENELC,bleu,West,West,Office,Warehouse,No,Yes,9.567870,1.429072,197,6.70,<.0001
REGION*activity*RENELC,bleu,West,West,Office,Warehouse,No,No,8.824614,1.502342,197,5.87,<.0001
REGION*activity*RENELC,bleu,West,West,Service,Service,Yes,No,-2.559803,2.813515,197,-0.91,0.3640
REGION*activity*RENELC,bleu,West,West,Service,Shopping,Yes,Yes,-4.383026,4.241085,197,-1.03,0.3027
REGION*activity*RENELC,bleu,West,West,Service,Shopping,Yes,No,-9.605609,2.237077,197,-4.29,<.0001
REGION*activity*RENELC,bleu,West,West,Service,Warehouse,Yes,Yes,2.411357,2.941001,197,0.82,0.4133
REGION*activity*RENELC,bleu,West,West,Service,Warehouse,Yes,No,1.668102,2.374357,197,0.70,0.4832
REGION*activity*RENELC,bleu,West,West,Service,Shopping,No,Yes,-1.823222,3.225291,197,-0.57,0.5725
REGION*activity*RENELC,bleu,West,West,Service,Shopping,No,No,-7.045806,2.257163,197,-3.12,0.0021
REGION*activity*RENELC,bleu,West,West,Service,Warehouse,No,Yes,4.971160,2.079403,197,2.39,0.0178
REGION*activity*RENELC,bleu,West,West,Service,Warehouse,No,No,4.227905,1.746793,197,2.42,0.0164
REGION*activity*RENELC,bleu,West,West,Shopping,Shopping,Yes,No,-5.222584,3.679226,197,-1.42,0.1573
REGION*activity*RENELC,bleu,West,West,Shopping,Warehouse,Yes,Yes,6.794383,3.672772,197,1.85,0.0658
REGION*activity*RENELC,bleu,West,West,Shopping,Warehouse,Yes,No,6.051127,3.581668,197,1.69,0.0927
REGION*activity*RENELC,bleu,West,West,Shopping,Warehouse,No,Yes,12.016967,2.096035,197,5.73,<.0001
REGION*activity*RENELC,bleu,West,West,Shopping,Warehouse,No,No,11.273711,1.858930,197,6.06,<.0001
REGION*activity*RENELC,bleu,West,West,Warehouse,Warehouse,Yes,No,-0.743256,1.146647,197,-0.65,0.5176
